Q,pct,t,rmse,mae,max_abs
-35000.0,-12.5,21.0,0.13450479098898413,0.09120463423027886,8.125704418945318
-35000.0,-12.5,22.0,0.12488113656694189,0.0782891772273763,8.142303808593752
-35000.0,-12.5,23.0,0.11458444575333081,0.06289916200073241,8.160891198730468
-35000.0,-12.5,24.0,0.10511504656057097,0.04565018694905598,8.180834985351567
-35000.0,-12.5,25.0,0.09854837625757716,0.02842774535020617,8.201295117187499
-35000.0,-12.5,26.0,0.09732641109873531,0.017528104917127824,8.221639172363282
-35000.0,-12.5,27.0,0.10335882147210967,0.03513461887491859,8.241341540527344
-35000.0,-12.5,28.0,0.1170413420955391,0.0596391265809462,8.25983001708984
-35000.0,-12.5,29.0,0.13742454772856158,0.08583261464219834,8.276608691406253
-35000.0,-12.5,30.0,0.16311668223749015,0.11327943702718098,8.29118083496094
-36000.0,-10.0,0.25,0.24267282157539694,0.1537730391205516,7.15447691650391
-36000.0,-10.0,0.5,0.15224706926481266,0.09942804440171986,7.6886218139648435
-36000.0,-10.0,0.75,0.10811879403598883,0.05505079614000108,7.995410571289057
-36000.0,-10.0,1.0,0.1289181015858956,0.0812464984677463,7.889018664550775
-36000.0,-10.0,2.0,0.2610373383330337,0.18724388428168406,8.722529943847661
-36000.0,-10.0,3.0,0.2971575457436801,0.22205096517808706,8.821414318847658
-36000.0,-10.0,4.0,0.2939827827800053,0.2249731712862142,8.831719189453125
-36000.0,-10.0,5.0,0.26877065130811206,0.20736669661431203,8.799695788574212
-36000.0,-10.0,6.0,0.23295208928116734,0.1775491249024794,8.748980920410162
-36000.0,-10.0,7.0,0.19410314222171499,0.14142932570814346,8.691776245117182
-36000.0,-10.0,8.0,0.157583531895642,0.10309189059760203,8.634276611328119
-36000.0,-10.0,9.0,0.12782340708844814,0.0654043506338162,8.579840625000003
-36000.0,-10.0,10.0,0.10889249249225721,0.03330520279378252,8.530250048828123
-36000.0,-10.0,11.0,0.1030677014012097,0.027580722959391266,8.486370837402347
-36000.0,-10.0,12.0,0.10826384153316124,0.04590890087972006,8.448893737792972
-36000.0,-10.0,13.0,0.11932982433863829,0.06815615391330296,8.418119848632813
-36000.0,-10.0,14.0,0.13173003406030015,0.08668640347452804,8.394231738281249
-36000.0,-10.0,15.0,0.14274517335804576,0.10077285410129123,8.377071374511715
-36000.0,-10.0,16.0,0.1509852288851198,0.11034470293674041,8.366425683593746
-36000.0,-10.0,17.0,0.15582295115315398,0.11549169825073241,8.361788403320318
-36000.0,-10.0,18.0,0.15708289458435387,0.11640541834757488,8.362914306640619
-36000.0,-10.0,19.0,0.15487559343116208,0.11334404396552193,8.368888684082037
-36000.0,-10.0,20.0,0.1495256737720664,0.10661695591023763,8.3793502319336
-36000.0,-10.0,21.0,0.1415356908741556,0.09655307659749347,8.3933452758789
-36000.0,-10.0,22.0,0.13162648927573745,0.08350507220458983,8.410281176757806
-36000.0,-10.0,23.0,0.12081983062682565,0.06785524272745772,8.429272924804692
-36000.0,-10.0,24.0,0.1105847545002219,0.05017604291883681,8.449804174804683
-36000.0,-10.0,25.0,0.1029856577861327,0.032110600008680566,8.47099672851563
-36000.0,-10.0,26.0,0.10055412108602041,0.018894718082953545,8.492348681640621
-36000.0,-10.0,27.0,0.10546101957541497,0.03292290628621417,8.513096276855464
-36000.0,-10.0,28.0,0.11839280427698202,0.05808072246365017,8.532767309570318
-36000.0,-10.0,29.0,0.1384998882812906,0.08514323243462454,8.550973498535157
-36000.0,-10.0,30.0,0.16430461592676499,0.1135163252118598,8.56698759765625
-38000.0,-5.0,0.25,0.26306995777026554,0.16439850483412038,7.57205994873047
-38000.0,-5.0,0.5,0.16506571467405443,0.10753986087877063,8.145799133300784
-38000.0,-5.0,0.75,0.11386192728754513,0.05960921945488824,8.477368554687502
-38000.0,-5.0,1.0,0.14001735122501788,0.09019512857530382,8.368428430175783
-38000.0,-5.0,2.0,0.2720325186063951,0.18970126513658317,9.271124230957028
-38000.0,-5.0,3.0,0.31419414078412794,0.23023213144585503,9.385956896972658
-38000.0,-5.0,4.0,0.31352270383234404,0.23619205741753474,9.402638671874996
-38000.0,-5.0,5.0,0.28844478693655956,0.21965539314737959,9.37161015625
-38000.0,-5.0,6.0,0.25129596645905516,0.18952642561021596,9.319347387695316
-38000.0,-5.0,7.0,0.21031311527234042,0.15218833157077366,9.259257202148433
-38000.0,-5.0,8.0,0.17131050181137641,0.11207176712714301,9.198696301269536
-38000.0,-5.0,9.0,0.13902467819452902,0.07224501311102974,9.140986779785152
-38000.0,-5.0,10.0,0.11781734048459519,0.03811987734022351,9.088273889160163
-38000.0,-5.0,11.0,0.11041479734752523,0.030114666280924473,9.041364184570313
-38000.0,-5.0,12.0,0.11512987776670389,0.04717842668402777,9.00111108398437
-38000.0,-5.0,13.0,0.12669530785585917,0.07091120009833439,8.967885986328128
-38000.0,-5.0,14.0,0.14016000069388745,0.09117510151801213,8.94169516601562
-38000.0,-5.0,15.0,0.15244649038203606,0.10687403074205185,8.922527185058598
-38000.0,-5.0,16.0,0.1619424068429703,0.1178588800008138,8.910223193359371
-38000.0,-5.0,17.0,0.16788945752717768,0.12418548521904842,8.904454040527341
-38000.0,-5.0,18.0,0.17002551158448767,0.126014903748508,8.904636352539057
-38000.0,-5.0,19.0,0.16840821275737178,0.12359066178317599,8.910224902343757
-38000.0,-5.0,20.0,0.1633239782318777,0.11721207764472112,8.92043549804687
-38000.0,-5.0,21.0,0.15525386800174648,0.10721407117933485,8.93468394775391
-38000.0,-5.0,22.0,0.1448885565685417,0.09395333645494251,8.952147094726556
-38000.0,-5.0,23.0,0.13321534380068506,0.07782915861287434,8.972132299804684
-38000.0,-5.0,24.0,0.12165449150337493,0.05941260487358941,8.993807958984377
-38000.0,-5.0,25.0,0.11224268383051275,0.040050634553087,9.016572985839844
-38000.0,-5.0,26.0,0.10762892011278445,0.023891279796685105,9.039710217285162
-38000.0,-5.0,27.0,0.11041272050452347,0.028701180538465713,9.062648266601556
-38000.0,-5.0,28.0,0.12185329148601821,0.054799076233045765,9.08469967041016
-38000.0,-5.0,29.0,0.14137216052603427,0.08349132038370767,9.105553259277343
-38000.0,-5.0,30.0,0.16738055814654282,0.1136557809650336,9.124481787109374
-40000.0,0.0,0.25,0.285785603213104,0.1774904269859487,7.989252270507819
-40000.0,0.0,0.5,0.18047374367443234,0.11811786599921334,8.60382061767578
-40000.0,0.0,0.75,0.12237020093729195,0.06689601983262805,8.961090319824223
-40000.0,0.0,1.0,0.15305293693049932,0.10094333878363715,8.850029223632816
-40000.0,0.0,2.0,0.2834408661735622,0.19255094133951825,9.82516594238281
-40000.0,0.0,3.0,0.3318768872267509,0.23889292390082467,9.957876049804682
